User,Film,Rating
HabisNontonFilm,Gunpowder Milkshake,2.65
HabisNontonFilm,Man in Love,2.916667
HabisNontonFilm,The Kissing Booth 3,2.642262
HabisNontonFilm,A Classic Horror Story,2.583333
HabisNontonFilm,Ali & Ratu Ratu Queens,3.708333
HabisNontonFilm,Ghost Lab,2.59375
HabisNontonFilm,Army of the Dead,3.125
HabisNontonFilm,Tersanjung the Movie,3.292857
HabisNontonFilm,Geez & Ann,2.666667
HabisNontonFilm,I Care a Lot,3.110491
HabisNontonFilm,If Anything Happens I Love You,2.5
HabisNontonFilm,June & Kopi,3.5
HabisNontonFilm,Layla Majnun,2.068452
HabisNontonFilm,Moxie,3.191667
HabisNontonFilm,Space Sweepers,2.666667
HabisNontonFilm,Tarung Sarung,3.5
HabisNontonFilm,The White Tiger,3.346354
HabisNontonFilm,We Can Be Heroes,3.041667
HabisNontonFilm,The Trial of the Chicago 7,3.232143
HabisNontonFilm,Enola Holmes,3.140278
HabisNontonFilm,The Devil All The Time,3.446667
HabisNontonFilm,#Alive,2.5
HabisNontonFilm,My Octopus Teacher,2.879167
HabisNontonFilm,I'm Thinking of Ending Things,2.53125
HabisNontonFilm,"Love, Rosie",3.238095
HabisNontonFilm,Bad Genius,2.7875
HabisNontonFilm,Spider-Man: Into the Spider-Verse,2.9375
HabisNontonFilm,Okja,3.5625
HabisNontonFilm,Burning,3.03125
HabisNontonFilm,Long Shot,3.07197
HabisNontonFilm,The Kissing Booth 2,2.903125
HabisNontonFilm,The Old Guard,3.208333
HabisNontonFilm,Milea,2.671402
HabisNontonFilm,Da 5 Bloods,2.979924
HabisNontonFilm,The Night Clerk,1.770833
HabisNontonFilm,Uncut Gems,2.52904
HabisNontonFilm,Time to Hunt,2.320313
HabisNontonFilm,Tigertail,4.0
HabisNontonFilm,Happy Old Year,2.5
HabisNontonFilm,Tootsies & The Fake,2.0
HabisNontonFilm,Love for Sale 2,3.583333
HabisNontonFilm,Marriage Story,3.325
HabisNontonFilm,The Last Airbender,2.795455
HabisNontonFilm,Surga Yang Tak Dirindukan,2.193287
HabisNontonFilm,Suckseed,2.539063
HabisNontonFilm,The Autopsy of Jane Doe,3.19697
HabisNontonFilm,Extraction,4.166667
HabisNontonFilm,Inception,2.25
HabisNontonFilm,Snowpiercer,3.175
HabisNontonFilm,The Whole Truth,2.315901
HabisNontonFilm,The Conjuring,4.25
HabisNontonFilm,My True Friend,2.0
HabisNontonFilm,The Social Network,2.833333
HabisNontonFilm,Train to Busan,3.458333
HabisNontonFilm,Garuda Di Dadaku,3.125
HabisNontonFilm,Twilight,3.078125
HabisNontonFilm,Young Adult,3.061111
HabisNontonFilm,Cloverfield,3.25
HabisNontonFilm,The Pursuit of Happyness,2.609375
HabisNontonFilm,Friday the 13th,2.4375
rayculz,The Mitchells vs The Machines,4.0
rayculz,Nightcrawler,5.0
rayculz,Room,2.75
rayculz,Molly's Game,4.25
rayculz,Spider-Man: Into the Spider-Verse,3.125
rayculz,Black Panther,3.725
rayculz,Burning,2.59881
rayculz,Lady Bird,3.325
rayculz,Ne Zha,3.875
rayculz,In the Tall Grass,2.0
rayculz,Triple Frontier,2.210227
rayculz,The Irishman,1.341781
rayculz,Shadow,4.5
rayculz,Drive,4.375
rayculz,My Stupid Boss,2.7625
rayculz,The Theory of Everything,5.0
rayculz,Cloud Atlas,2.214286
rayculz,Silent Hill: Revelation,2.65
rayculz,The Frozen Ground,2.3125
rayculz,Chappie,3.4375
rayculz,Extraction,1.5
rayculz,Green Lantern,2.916667
rayculz,The Interview,4.4375
rayculz,The Interview,2.5
rayculz,Django Unchained,3.5
