User,Film,Rating,idUser,idFilm,rRating
HabisNontonFilm,Gunpowder Milkshake,2.65,1,2,2.65
HabisNontonFilm,Man in Love,2.916667,1,5,2.92
HabisNontonFilm,The Kissing Booth 3,2.642262,1,8,2.64
HabisNontonFilm,A Classic Horror Story,2.583333,1,18,2.58
HabisNontonFilm,Ali & Ratu Ratu Queens,3.708333,1,26,3.71
HabisNontonFilm,Ghost Lab,2.59375,1,30,2.59
HabisNontonFilm,Army of the Dead,3.125,1,31,3.12
HabisNontonFilm,Tersanjung the Movie,3.292857,1,43,3.29
HabisNontonFilm,Geez & Ann,2.666667,1,77,2.67
HabisNontonFilm,I Care a Lot,3.110491,1,79,3.11
HabisNontonFilm,If Anything Happens I Love You,2.5,1,80,2.5
HabisNontonFilm,June & Kopi,3.5,1,81,3.5
HabisNontonFilm,Layla Majnun,2.068452,1,82,2.07
HabisNontonFilm,Moxie,3.191667,1,85,3.19
HabisNontonFilm,Space Sweepers,2.666667,1,89,2.67
HabisNontonFilm,Tarung Sarung,3.5,1,90,3.5
HabisNontonFilm,The White Tiger,3.346354,1,93,3.35
HabisNontonFilm,We Can Be Heroes,3.041667,1,94,3.04
HabisNontonFilm,The Trial of the Chicago 7,3.232143,1,105,3.23
HabisNontonFilm,Enola Holmes,3.140278,1,112,3.14
HabisNontonFilm,The Devil All The Time,3.446667,1,114,3.45
HabisNontonFilm,#Alive,2.5,1,119,2.5
HabisNontonFilm,My Octopus Teacher,2.879167,1,120,2.88
HabisNontonFilm,I'm Thinking of Ending Things,2.53125,1,121,2.53
HabisNontonFilm,"Love, Rosie",3.238095,1,144,3.24
HabisNontonFilm,Bad Genius,2.7875,1,204,2.79
HabisNontonFilm,Spider-Man: Into the Spider-Verse,2.9375,1,270,2.94
HabisNontonFilm,Okja,3.5625,1,302,3.56
HabisNontonFilm,Burning,3.03125,1,308,3.03
HabisNontonFilm,Long Shot,3.07197,1,334,3.07
HabisNontonFilm,The Kissing Booth 2,2.903125,1,379,2.9
HabisNontonFilm,The Old Guard,3.208333,1,382,3.21
HabisNontonFilm,Milea,2.671402,1,384,2.67
HabisNontonFilm,Da 5 Bloods,2.979924,1,385,2.98
HabisNontonFilm,The Night Clerk,1.770833,1,388,1.77
HabisNontonFilm,Uncut Gems,2.52904,1,392,2.53
HabisNontonFilm,Time to Hunt,2.320313,1,401,2.32
HabisNontonFilm,Tigertail,4.0,1,404,4.0
HabisNontonFilm,Happy Old Year,2.5,1,408,2.5
HabisNontonFilm,Tootsies & The Fake,2.0,1,412,2.0
HabisNontonFilm,Love for Sale 2,3.583333,1,415,3.58
HabisNontonFilm,Marriage Story,3.325,1,451,3.32
HabisNontonFilm,The Last Airbender,2.795455,1,526,2.8
HabisNontonFilm,Surga Yang Tak Dirindukan,2.193287,1,538,2.19
HabisNontonFilm,Suckseed,2.539063,1,560,2.54
HabisNontonFilm,The Autopsy of Jane Doe,3.19697,1,565,3.2
HabisNontonFilm,Extraction,4.166667,1,578,4.17
HabisNontonFilm,Inception,2.25,1,583,2.25
HabisNontonFilm,Snowpiercer,3.175,1,590,3.18
HabisNontonFilm,The Whole Truth,2.315901,1,600,2.32
HabisNontonFilm,The Conjuring,4.25,1,605,4.25
HabisNontonFilm,My True Friend,2.0,1,632,2.0
HabisNontonFilm,The Social Network,2.833333,1,635,2.83
HabisNontonFilm,Train to Busan,3.458333,1,638,3.46
HabisNontonFilm,Garuda Di Dadaku,3.125,1,660,3.12
HabisNontonFilm,Twilight,3.078125,1,664,3.08
HabisNontonFilm,Young Adult,3.061111,1,717,3.06
HabisNontonFilm,Cloverfield,3.25,1,755,3.25
HabisNontonFilm,The Pursuit of Happyness,2.609375,1,770,2.61
HabisNontonFilm,Friday the 13th,2.4375,1,790,2.44
rayculz,The Mitchells vs The Machines,4.0,2,34,4.0
rayculz,Nightcrawler,5.0,2,136,5.0
rayculz,Room,2.75,2,145,2.75
rayculz,Molly's Game,4.25,2,251,4.25
rayculz,Spider-Man: Into the Spider-Verse,3.125,2,270,3.12
rayculz,Black Panther,3.725,2,306,3.72
rayculz,Burning,2.59881,2,308,2.6
rayculz,Lady Bird,3.325,2,389,3.32
