Username,Title,Rating Final
AnakNonton,Tanda Tanya,3.25
AnakNonton,Snowden,3.25
AnakNonton,ParaNorman,4.5
AnakNonton,Real Steel,4.2
AnakNonton,How to Train Your Dragon 2,2.5
AnakNonton,Puss in Boots,5
AnakNonton,Mr. Peabody & Sherman,4
AnakNonton,Headshot,3.75
AnakNonton,The Social Network,5
AnakNonton,Train to Busan,3.652778
AnakNonton,Ghost Rider,3
AnakNonton,Twilight,2.791667
AnakNonton,Moonlight,3.125
AnakNonton,Safe House,4
AnakNonton,Captain Fantastic,3.734375
AnakNonton,Blue Valentine,0.3125
AnakNonton,Cloverfield,2.5
AnakNonton,Paranormal Activity,5
MovieManID,My Stupid Boss,3.5
MovieManID,Olympus Has Fallen,2.662037
MovieManID,Snowpiercer,3.052083
MovieManID,The Conjuring,3.75
MovieManID,Headshot,3.125
MovieManID,Train to Busan,4.5
MovieManID,A Love Story,2.9375
MovieManID,Twilight,2.025
MovieManID,Taare Zameen Par,3.196429
MovieManID,Captain Fantastic,3.2125
MovieManID,Casino Royale,3
MovieManID,Zombieland,3.5
MovieManID,P.S. I Love You,2.902778
CenayangFilm,My Stupid Boss,2.5
CenayangFilm,The Last Airbender,2.5
CenayangFilm,Hugo,2.5
CenayangFilm,Sinister 2,2.5
CenayangFilm,Olympus Has Fallen,2.916667
CenayangFilm,Habibie & Ainun,3.295455
CenayangFilm,Rudy Habibie,2.625
CenayangFilm,Surga Yang Tak Dirindukan,4
CenayangFilm,Clash of the Titans,3.458333
CenayangFilm,Surat Dari Praha,2.708333
CenayangFilm,Chappie,4.25
CenayangFilm,Green Lantern,2.982143
CenayangFilm,Snowpiercer,2.53125
CenayangFilm,Crimson Peak,2.083333
CenayangFilm,Insidious,3
CenayangFilm,The Conjuring,2.5
CenayangFilm,The Conjuring 2,1.75
CenayangFilm,Shutter Island,2.5
CenayangFilm,Real Steel,4
CenayangFilm,How to Train Your Dragon 2,3.375
CenayangFilm,Jupiter Ascending,0.75
CenayangFilm,The Social Network,2.5
CenayangFilm,Train to Busan,3.75
CenayangFilm,3 Idiots,2.5
CenayangFilm,Ip Man,1.625
CenayangFilm,Final Destination 3,3.218182
CenayangFilm,Ghost Rider,1.430556
CenayangFilm,Twilight,2.5
CenayangFilm,Kung Fu Panda,3.125
CenayangFilm,Star Trek,3.045455
CenayangFilm,Left Behind,3.375
CenayangFilm,Into the Wild,2
CenayangFilm,Young Adult,2.5
CenayangFilm,Bolt,3.75
