User,Film,Rating
RottenTomatoes Tomato meter,Words Bubble Up Like Soda Pop,5.0
RottenTomatoes Tomato meter,Gunpowder Milkshake,2.95
RottenTomatoes Tomato meter,Wind River,4.35
RottenTomatoes Tomato meter,Beckett,2.3
RottenTomatoes Tomato meter,The Kissing Booth 3,1.25
RottenTomatoes Tomato meter,The Swarm,4.3
RottenTomatoes Tomato meter,Five Feet Apart,2.65
RottenTomatoes Tomato meter,Fantastic Fungi,5.0
RottenTomatoes Tomato meter,Blood Red Sky,4.0
RottenTomatoes Tomato meter,The Last Letter From Your Lover,2.75
RottenTomatoes Tomato meter,The Book of Henry,1.1
RottenTomatoes Tomato meter,A Classic Horror Story,2.5
RottenTomatoes Tomato meter,Midnight Sun,1.05
RottenTomatoes Tomato meter,Haseen Dillruba,2.9
RottenTomatoes Tomato meter,The 8th Night,3.15
RottenTomatoes Tomato meter,Good on Paper,2.55
RottenTomatoes Tomato meter,To All the Boys: Always and Forever - The Afterparty,3.95
RottenTomatoes Tomato meter,Wish Dragon,3.4
RottenTomatoes Tomato meter,Then Came You,2.5
RottenTomatoes Tomato meter,Ghost Lab,1.45
RottenTomatoes Tomato meter,Army of the Dead,3.35
RottenTomatoes Tomato meter,The Woman in the Window,1.3
RottenTomatoes Tomato meter,The Mitchells vs The Machines,4.85
RottenTomatoes Tomato meter,Stowaway,3.8
RottenTomatoes Tomato meter,Time Trap,3.1
RottenTomatoes Tomato meter,Ride or Die,3.45
RottenTomatoes Tomato meter,Night in Paradise,3.7
RottenTomatoes Tomato meter,Pagglait,3.45
RottenTomatoes Tomato meter,Seaspiracy,3.75
RottenTomatoes Tomato meter,Afterlife of the Party,2.8
RottenTomatoes Tomato meter,The Last Mercenary,3.05
RottenTomatoes Tomato meter,The Operative,2.05
RottenTomatoes Tomato meter,Born to Play,5.0
RottenTomatoes Tomato meter,Mobile Suit Gundam Hathaway,4.0
RottenTomatoes Tomato meter,Silver Skates,1.65
RottenTomatoes Tomato meter,Two Distant Strangers,4.7
RottenTomatoes Tomato meter,Thunder Force,1.05
RottenTomatoes Tomato meter,Coded Bias,5.0
RottenTomatoes Tomato meter,Concrete Cowboy,4.0
RottenTomatoes Tomato meter,Madam Chief Minister,2.0
RottenTomatoes Tomato meter,Deadly Illusions,1.05
RottenTomatoes Tomato meter,Operation Varsity Blues,4.4
RottenTomatoes Tomato meter,Nightbooks,4.35
RottenTomatoes Tomato meter,Paradise Hills,3.35
RottenTomatoes Tomato meter,Afterlife of the Party.1,2.8
RottenTomatoes Tomato meter,Gurgaon,4.3
RottenTomatoes Tomato meter,The Vault,3.0
RottenTomatoes Tomato meter,Death to 2020,2.0
RottenTomatoes Tomato meter,I Care a Lot,3.9
RottenTomatoes Tomato meter,If Anything Happens I Love You,5.0
RottenTomatoes Tomato meter,Ma Rainey's Black Bottom,4.85
RottenTomatoes Tomato meter,Moxie,3.5
RottenTomatoes Tomato meter,Outside the Wire,1.85
RottenTomatoes Tomato meter,Pieces of a Woman,3.75
RottenTomatoes Tomato meter,Sightless,2.0
RottenTomatoes Tomato meter,Space Sweepers,3.45
RottenTomatoes Tomato meter,Tarung Sarung,4.6
RottenTomatoes Tomato meter,The Call,5.0
RottenTomatoes Tomato meter,The White Tiger,4.55
RottenTomatoes Tomato meter,We Can Be Heroes,3.7
RottenTomatoes Tomato meter,Your Name Engraved Herein,4.4
RottenTomatoes Tomato meter,The Life Ahead,4.6
RottenTomatoes Tomato meter,Ludo,4.0
RottenTomatoes Tomato meter,Mile 22,1.15
RottenTomatoes Tomato meter,His House,5.0
RottenTomatoes Tomato meter,Holidate,2.2
RottenTomatoes Tomato meter,Nobody Sleeps in the Woods Tonight,3.35
RottenTomatoes Tomato meter,Over the Moon,4.05
RottenTomatoes Tomato meter,Rebecca,1.95
RottenTomatoes Tomato meter,The Trial of the Chicago 7,4.45
RottenTomatoes Tomato meter,Hubie Halloween,2.6
RottenTomatoes Tomato meter,David Attenborough: A Life on Our Planet,4.8
RottenTomatoes Tomato meter,The Outpost,4.6
RottenTomatoes Tomato meter,American Murder: The Family Next Door,4.3
RottenTomatoes Tomato meter,Enola Holmes,4.55
RottenTomatoes Tomato meter,The Devil All The Time,3.2
RottenTomatoes Tomato meter,The Paramedic,2.5
RottenTomatoes Tomato meter,The Babysitter: Killer Queen,2.4
RottenTomatoes Tomato meter,Cargo,3.2
RottenTomatoes Tomato meter,The Social Dilemma,4.25
RottenTomatoes Tomato meter,#Alive,4.4
RottenTomatoes Tomato meter,My Octopus Teacher,4.65
RottenTomatoes Tomato meter,I'm Thinking of Ending Things,4.1
RottenTomatoes Tomato meter,Children of the Sea,3.1
RottenTomatoes Tomato meter,Project Power,3.05
RottenTomatoes Tomato meter,Last Knights,0.8
RottenTomatoes Tomato meter,Last Night,2.65
RottenTomatoes Tomato meter,Legion,0.9
RottenTomatoes Tomato meter,Lincoln,4.45
RottenTomatoes Tomato meter,Midnight Special,4.15
RottenTomatoes Tomato meter,Movie 43,0.2
RottenTomatoes Tomato meter,Muppets Most Wanted,4.0
RottenTomatoes Tomato meter,Nightcrawler,4.75
RottenTomatoes Tomato meter,Resident Evil: Afterlife,1.05
RottenTomatoes Tomato meter,Scary Movie 5,0.2
RottenTomatoes Tomato meter,Scott Pilgrim vs. the World,4.1
RottenTomatoes Tomato meter,Sex and the City 2,0.8
RottenTomatoes Tomato meter,Shark Night,0.9
RottenTomatoes Tomato meter,Legend of the Guardians: The Owls of Ga'Hoole,2.6
RottenTomatoes Tomato meter,"Love, Rosie",1.6
RottenTomatoes Tomato meter,Room,4.65
RottenTomatoes Tomato meter,Say When,3.25
RottenTomatoes Tomato meter,Searching for Sugar Man,4.75
RottenTomatoes Tomato meter,Season of the Witch,0.55
RottenTomatoes Tomato meter,Senna,4.65
RottenTomatoes Tomato meter,paddleton,4.5
RottenTomatoes Tomato meter,Behind the Curve,4.6
RottenTomatoes Tomato meter,High Flying Bird,4.6
RottenTomatoes Tomato meter,Velvet Buzzsaw,3.1
RottenTomatoes Tomato meter,The Black Prince,0.4
RottenTomatoes Tomato meter,Studio 54,4.5
RottenTomatoes Tomato meter,Abducted in Plain Sight,3.8
RottenTomatoes Tomato meter,Polar,1.0
RottenTomatoes Tomato meter,GODZILLA The Planet Eater,3.0
RottenTomatoes Tomato meter,Bird Box,3.2
RottenTomatoes Tomato meter,Crossroads: One Two Jaga,4.0
RottenTomatoes Tomato meter,The Christmas Chronicles,3.4
RottenTomatoes Tomato meter,The Princess Switch,3.6
RottenTomatoes Tomato meter,May the Devil Take You,3.9
RottenTomatoes Tomato meter,Outlaw King,3.1
RottenTomatoes Tomato meter,Shirkers,5.0
RottenTomatoes Tomato meter,The Night Comes for Us,4.6
RottenTomatoes Tomato meter,Apostle,4.0
RottenTomatoes Tomato meter,The Kindergarten Teacher,4.5
RottenTomatoes Tomato meter,Hold the Dark,3.6
RottenTomatoes Tomato meter,Sierra Burgess Is A Loser,3.1
RottenTomatoes Tomato meter,Extinction,1.6
RottenTomatoes Tomato meter,Us and Them,5.0
RottenTomatoes Tomato meter,Alex Strangelove,4.1
RottenTomatoes Tomato meter,Outside In,4.8
RottenTomatoes Tomato meter,The Kissing Booth,0.8
RottenTomatoes Tomato meter,Beyond Skyline,3.4
RottenTomatoes Tomato meter,6 Balloons,4.3
RottenTomatoes Tomato meter,Sun Dogs,4.0
RottenTomatoes Tomato meter,The Outsider,0.9
RottenTomatoes Tomato meter,Bullet Head,3.1
RottenTomatoes Tomato meter,Judwaa 2,1.7
RottenTomatoes Tomato meter,FullMetal Alchemist,1.4
RottenTomatoes Tomato meter,Irreplaceable You,1.6
RottenTomatoes Tomato meter,The Drug King,4.2
RottenTomatoes Tomato meter,Pokémon the Movie: I Choose You!,1.7
RottenTomatoes Tomato meter,The Ballad of Buster Scruggs,4.5
RottenTomatoes Tomato meter,The Other Side of the Wind,4.2
RottenTomatoes Tomato meter,Private Life,4.7
RottenTomatoes Tomato meter,The Package,2.1
RottenTomatoes Tomato meter,Set It Up,4.6
RottenTomatoes Tomato meter,Bad Genius,5.0
RottenTomatoes Tomato meter,Candy Jar,3.6
RottenTomatoes Tomato meter,Psychokinesis,4.0
RottenTomatoes Tomato meter,Kodachrome,3.6
RottenTomatoes Tomato meter,Benji,3.0
RottenTomatoes Tomato meter,The Ritual,3.7
RottenTomatoes Tomato meter,Mercury 13,5.0
RottenTomatoes Tomato meter,The Clapper,1.2
RottenTomatoes Tomato meter,Duck Butter,2.8
RottenTomatoes Tomato meter,How It Ends,0.9
RottenTomatoes Tomato meter,Like Father,2.3
RottenTomatoes Tomato meter,The Debt Collector,4.2
RottenTomatoes Tomato meter,City of Joy,5.0
RottenTomatoes Tomato meter,Tales From the Hood 2,3.9
RottenTomatoes Tomato meter,GODZILLA City on the Edge of Battle,3.0
RottenTomatoes Tomato meter,Head Count,3.4
RottenTomatoes Tomato meter,First Kill,0.75
RottenTomatoes Tomato meter,Freak Show,2.65
RottenTomatoes Tomato meter,How to Be a Latin Lover,1.95
RottenTomatoes Tomato meter,Ghost House,1.1
RottenTomatoes Tomato meter,Goosebumps 2: Haunted Halloween,2.35
RottenTomatoes Tomato meter,Happy Hunting,5.0
RottenTomatoes Tomato meter,Haunters: The Art of the Scare,5.0
RottenTomatoes Tomato meter,Hotel Transylvania 3: Summer Vacation,3.1
RottenTomatoes Tomato meter,Kickboxer: Retaliation,4.6
RottenTomatoes Tomato meter,Krystal,0.65
RottenTomatoes Tomato meter,Kung Fu Yoga,2.4
RottenTomatoes Tomato meter,Lez Bomb,4.45
RottenTomatoes Tomato meter,Mary Poppins Returns,4.0
RottenTomatoes Tomato meter,Molly's Game,4.1
RottenTomatoes Tomato meter,The Accountant of Auschwitz,5.0
RottenTomatoes Tomato meter,Peter Rabbit,3.2
RottenTomatoes Tomato meter,Postcards from London,2.65
RottenTomatoes Tomato meter,Ralph Breaks the Internet: Wreck-It Ralph 2,4.4
RottenTomatoes Tomato meter,Red Trees,2.8
RottenTomatoes Tomato meter,Rememory,1.25
RottenTomatoes Tomato meter,Super Dark Times,4.5
RottenTomatoes Tomato meter,Satan & Adam,4.15
RottenTomatoes Tomato meter,Saturday Church,4.65
